,DATA_EPI,CASO
0,2018-28,1
1,2018-35,1
2,2018-41,1
3,2019-02,2
4,2019-04,1
5,2019-05,1
6,2019-06,1
7,2019-07,1
8,2019-08,3
9,2019-09,2
10,2019-10,2
11,2019-11,1
12,2019-12,5
13,2019-13,2
14,2019-14,4
15,2019-15,5
16,2019-16,5
17,2019-17,11
18,2019-18,6
19,2019-19,11
20,2019-20,10
21,2019-21,14
22,2019-22,29
23,2019-23,54
24,2019-24,68
25,2019-25,133
26,2019-26,195
27,2019-27,291
28,2019-28,393
29,2019-29,432
30,2019-30,665
31,2019-31,629
32,2019-32,790
33,2019-33,707
34,2019-34,621
35,2019-35,579
36,2019-36,521
37,2019-37,473
38,2019-38,442
39,2019-39,339
40,2019-40,377
41,2019-41,284
42,2019-42,233
43,2019-43,221
44,2019-44,183
45,2019-45,147
46,2019-46,87
47,2019-47,95
48,2019-48,49
49,2019-49,77
50,2019-50,64
51,2019-51,68
52,2019-52,58
53,2020-01,63
54,2020-02,38
55,2020-03,45
56,2020-04,26
57,2020-05,25
58,2020-06,17
59,2020-07,27
60,2020-08,24
61,2020-09,10
62,2020-10,31
63,2020-11,16
64,2020-12,4
65,2020-13,8
66,2020-14,6
67,2020-15,2
68,2020-16,1
69,2020-17,1
70,2020-18,4
71,2020-19,4
72,2020-20,3
73,2020-21,3
74,2020-22,2
75,2020-23,2
76,2020-24,1
77,2020-25,1
78,2020-26,3
79,2020-28,3
80,2020-29,5
81,2020-30,4
82,2020-31,2
83,2020-32,3
84,2020-33,2
85,2020-34,2
86,2020-35,1
87,2020-36,4
88,2020-39,1
89,2020-40,4
90,2020-42,2
91,2020-43,4
92,2020-44,1
93,2020-46,2
94,2020-48,1
95,2020-49,2
96,2020-53,2
